,input_size_h,input_size_w,channels,filter_size,stride,runtime
679,401,339,3,2,2,0.0194390006363
680,352,123,1,2,3,0.001200000057
681,19,290,175,3,2,0.0607299990952
682,239,409,8,3,2,0.0401760004461
683,2,304,743,2,3,0.0089520001784
684,46,447,5,3,2,0.00508800009266
685,46,425,21,3,3,0.00927700009197
686,192,325,15,2,2,0.0274739991874
687,10,364,9,2,3,0.000414999987697
688,283,328,6,2,2,0.0162579994649
689,66,168,11,3,2,0.00620900001377
690,377,152,11,3,2,0.0328620001674
691,271,186,15,2,3,0.0101439999416
692,149,359,8,2,2,0.0126480003819
693,314,370,7,2,2,0.0237579997629
