,input_size_h,input_size_w,channels,filter_count,filter_size,stride,runtime
390,219,53,351,5,10,2,6.36240911484
391,33,219,351,53,2,2,0.338993996382
392,219,85,13,137,2,1,0.409572005272
393,137,219,20,219,8,1,12.4356002808
394,13,33,3,5,4,2,0.000620000006165
395,8,137,351,8,2,1,0.105667002499
396,219,13,219,53,8,2,0.845054984093
397,13,85,137,85,10,1,1.1627420187
398,85,13,13,8,2,1,0.00496099982411
399,137,20,8,85,6,1,0.135012000799
400,13,5,3,33,4,1,0.000635000003967
401,5,5,33,33,2,2,0.000587999995332
402,85,20,33,85,2,1,0.047570001334
403,13,85,137,85,2,2,0.0283720009029
404,13,137,351,85,4,1,1.59073603153
405,33,219,5,53,2,1,0.0478500016034
406,20,219,3,13,8,2,0.0161780007184
407,219,20,33,20,4,2,0.0558569990098
408,13,219,5,219,8,1,0.217706993222
409,13,137,3,5,2,2,0.000736000016332
410,53,20,85,5,4,1,0.102907001972
411,85,85,33,137,6,1,1.94393599033
412,137,85,85,13,10,1,7.18725585938
413,137,8,137,53,2,1,0.0769089981914
414,3,8,5,33,2,1,0.000307000009343
415,219,53,3,219,2,1,0.239160001278
416,219,219,20,137,4,1,4.0470161438
417,137,53,3,85,8,2,0.064058996737
418,137,53,3,8,4,2,0.00817300006747
419,85,53,53,20,8,1,1.18225502968
420,33,137,85,3,4,2,0.108033001423
421,20,13,351,13,6,2,0.0638509988785
422,219,85,3,85,8,1,0.663975000381
423,33,20,85,33,10,1,0.332332998514
424,219,137,351,8,2,2,0.784169018269
425,8,137,13,53,4,1,0.0320050008595
426,53,53,20,137,10,1,1.02810704708
427,20,33,351,8,2,2,0.0183240007609
428,53,53,20,20,4,1,0.0854069963098
429,53,219,137,137,4,2,1.50661897659
430,33,13,8,33,10,2,0.00605899980292
431,219,20,33,85,8,2,0.333710998297
432,33,85,351,137,2,1,0.917981028557
433,13,137,5,8,8,1,0.0287490002811
434,3,13,5,5,2,1,0.00023799999326
435,13,13,351,13,4,2,0.02247299999
436,85,20,3,5,2,2,0.000752000021748
437,20,85,3,33,4,1,0.0129079995677
438,3,85,20,5,2,2,0.000515000021551
439,13,33,3,8,10,1,0.0041490001604
440,85,85,53,5,6,2,0.24741999805
441,33,85,85,13,6,2,0.1632039994
442,8,33,137,3,2,1,0.00945100001991
443,33,53,3,85,2,1,0.0147839998826
444,219,85,33,137,10,1,12.9409713745
445,219,85,13,8,6,2,0.160611003637
446,219,5,53,53,2,1,0.0297270007432
447,33,20,219,20,8,1,0.535669982433
448,13,33,85,5,10,1,0.101634003222
449,53,33,3,8,8,2,0.00563099980354
450,8,33,137,137,2,2,0.0146970003843
451,8,85,3,5,4,2,0.000926000007894
452,8,85,33,3,2,1,0.00633399980143
453,8,33,53,219,6,1,0.129482999444
454,219,20,13,53,8,1,0.371403008699
455,53,85,219,5,4,1,1.14150500298
456,3,3,351,13,2,2,0.00240199989639
457,20,3,3,20,2,2,0.000230999998166
458,85,53,13,3,2,1,0.0183569993824
459,33,13,137,53,2,1,0.0316849984229
460,219,20,219,5,10,2,1.22634601593
461,53,20,85,33,6,2,0.0833799988031
462,13,33,137,33,8,2,0.0748990029097
463,33,13,137,85,8,1,0.394479006529
464,219,8,53,5,2,1,0.0280799996108
465,13,13,137,33,8,1,0.0872479975224
466,8,20,351,137,6,1,0.382777988911
467,53,137,219,137,2,1,1.52182304859
468,137,219,5,13,6,2,0.119764998555
469,137,20,8,20,10,1,0.127027004957
470,85,85,351,85,6,1,14.630358696
471,3,137,3,3,2,1,0.000531000026967
472,219,137,33,3,6,2,0.616659998894
473,8,5,85,53,2,1,0.00295999995433
474,219,219,351,3,2,1,4.72321605682
475,33,137,351,137,8,2,5.02816200256
476,53,13,8,53,4,1,0.0141489999369
477,137,8,13,219,2,2,0.0101070003584
478,219,20,351,33,4,1,2.53332304955
479,85,85,20,53,2,2,0.0268779993057
480,137,20,20,13,8,1,0.217052996159
481,33,33,5,137,4,2,0.00847699958831
482,3,219,219,3,2,2,0.00791500043124
483,20,85,53,219,2,2,0.0392309986055
484,219,13,8,3,10,1,0.0758310034871
485,20,20,137,8,2,1,0.0161370001733
486,33,20,3,3,6,2,0.00138100003824
487,137,33,20,13,4,2,0.0327770002186
488,33,137,13,5,10,1,0.32845801115
489,33,85,85,8,10,1,1.29706299305
490,137,33,85,53,6,2,0.429024010897
491,137,53,33,219,6,2,0.708482027054
492,85,33,5,85,2,2,0.00690999999642
493,53,20,137,33,10,1,0.91670101881
494,85,137,137,33,10,2,3.81880497932
495,33,85,351,3,6,1,2.21062493324
496,219,219,13,20,8,2,0.865305006504
497,53,33,5,85,8,2,0.0228850003332
498,5,85,5,219,2,2,0.00238700001501
499,33,85,53,33,6,1,0.516811013222
500,53,20,33,8,10,1,0.15048199892
501,3,219,53,20,2,1,0.0100959995762
502,219,137,85,20,10,2,5.2851319313
503,85,219,219,85,2,1,2.86027097702
504,53,85,20,3,4,2,0.0274739991874
505,53,8,351,85,6,1,0.616541028023
506,8,33,219,85,2,2,0.0161320008337
507,137,85,219,8,2,1,0.752767026424
508,137,85,13,137,4,2,0.172160997987
509,20,13,219,53,10,1,0.310532003641
510,33,20,33,3,4,1,0.0244970005006
511,8,3,219,33,2,1,0.00414599990472
512,85,219,3,8,10,1,0.384292006493
513,137,137,13,53,10,2,0.764746010303
514,33,137,53,13,10,1,1.50665998459
515,33,219,20,85,10,1,1.92221105099
516,33,33,20,13,6,1,0.0583899989724
517,53,137,3,8,10,1,0.142831996083
518,5,53,137,137,4,1,0.132708996534
519,137,33,8,13,2,1,0.0164560005069
520,53,137,20,3,6,2,0.0895389989018
521,219,20,8,53,4,2,0.0243159998208
522,33,33,3,3,6,1,0.00794100016356
523,85,53,137,5,8,2,0.631681978703
524,13,13,5,13,2,1,0.00062100001378
525,3,137,219,219,2,2,0.0346979983151
526,13,8,3,8,6,2,0.000391000008676
527,85,8,351,13,2,1,0.0718920007348
528,13,33,219,13,8,1,0.277931988239
529,5,85,13,33,4,2,0.00267000007443
530,13,8,20,33,6,1,0.00629300018772
531,33,3,219,137,2,2,0.0127090001479
532,8,219,85,20,2,2,0.0153959998861
533,53,5,137,85,2,1,0.0247740000486
534,8,85,137,5,2,2,0.00758199999109
535,53,219,13,219,4,2,0.24328699708
536,85,137,137,53,8,2,3.09631800652
537,85,13,13,3,2,1,0.00445199990645
538,13,33,20,8,6,1,0.0170130003244
539,219,137,13,85,8,1,4.20000696182
540,137,33,219,85,2,1,0.685392022133
541,219,137,20,3,6,2,0.382353007793
542,137,20,33,85,2,2,0.020875999704
543,137,53,137,219,4,1,5.30698013306
544,8,137,351,53,4,1,0.733901977539
545,219,85,137,137,4,1,9.51491832733
546,8,20,8,53,6,2,0.00259299995378
547,85,53,13,5,10,1,0.35406601429
548,219,20,85,53,4,1,0.772875010967
549,8,8,351,5,6,2,0.0181130003184
550,33,219,8,13,6,2,0.0454099997878
551,5,8,3,20,2,1,0.000280000007479
552,20,13,53,85,6,2,0.0268600005656
553,5,13,85,53,2,1,0.00354700000025
554,8,20,137,219,6,2,0.124149002135
555,53,33,8,137,4,2,0.0180670004338
556,85,13,351,13,10,2,0.386283010244
557,33,20,13,85,2,1,0.00983500014991
558,219,8,20,53,4,2,0.0222759991884
559,20,53,8,85,2,2,0.0034680000972
560,13,219,53,85,8,1,1.02489995956
561,137,3,137,20,2,2,0.00465699983761
562,137,3,351,85,2,1,0.0752329975367
563,137,137,8,5,4,1,0.187749996781
564,13,20,137,85,2,2,0.00864600017667
565,20,53,219,20,2,2,0.0227249991149
566,20,8,33,20,4,1,0.00769399991259
567,219,5,137,8,2,2,0.0101330000907
568,137,5,85,53,4,2,0.0306880008429
569,85,20,85,219,2,1,0.217445001006
570,137,13,219,53,6,2,0.376670986414
571,20,219,20,5,4,1,0.104033999145
572,8,13,33,219,6,1,0.0402750000358
573,20,20,13,3,8,1,0.0141740003601
574,219,5,85,3,2,1,0.023227000609
575,33,13,3,85,10,2,0.00446499977261
576,137,219,53,219,6,1,18.7210216522
577,85,33,8,137,10,2,0.110918998718
578,85,219,53,137,6,2,2.03054499626
579,219,33,53,5,10,1,2.15862488747
580,53,137,13,3,6,2,0.0594870001078
581,13,137,20,137,10,1,0.385320991278
582,8,13,85,20,6,2,0.0100330002606
583,5,219,20,20,4,1,0.0284080002457
584,13,53,5,53,4,1,0.0095830000937
585,137,33,219,8,4,1,1.15185296535
586,20,85,3,20,10,2,0.00872700009495
587,5,5,219,3,2,1,0.00177299999632
