,input_size_h,input_size_w,channels,filter_count,filter_size,stride,runtime
406,351,5,900,13,2,2,0.0669839978218
407,5,13,3,137,4,1,0.000911000010092
408,20,20,53,13,2,2,0.00144799996633
409,13,562,3,137,4,2,0.0226080007851
410,53,20,53,900,6,1,1.25389504433
411,13,137,8,8,2,2,0.000901999999769
412,562,562,562,5,6,1,282.890533447
413,562,33,33,351,6,2,1.58017599583
414,53,351,13,13,6,2,0.123767003417
415,8,8,20,85,4,1,0.00322699989192
416,562,85,1441,900,2,2,48.064956665
417,85,20,351,219,4,2,0.517096996307
418,33,351,219,3,6,1,3.53966093063
419,13,20,562,219,4,1,0.479184985161
420,85,33,1441,562,10,1,134.323806763
421,33,137,33,13,2,2,0.008674999699
422,5,137,900,8,4,1,0.360357999802
423,137,20,900,219,10,2,9.02686786652
424,13,562,137,53,6,2,0.566334009171
425,219,33,20,13,6,2,0.0627830028534
426,53,53,137,137,2,2,0.0615670010448
427,219,137,20,351,2,1,1.16771197319
428,53,8,53,13,6,2,0.00893700029701
429,33,351,219,85,2,1,1.05920696259
430,20,137,351,53,2,2,0.0825330018997
431,53,33,20,562,8,2,0.227226004004
432,351,13,3,219,6,1,0.110485002398
433,53,8,351,219,2,2,0.0437970012426
434,33,351,219,53,4,1,3.17254209518
435,8,562,1441,1441,4,2,29.6982345581
436,8,562,351,20,2,2,0.0904269963503
437,33,8,8,20,4,2,0.000752000021748
438,13,562,900,20,8,2,3.54577803612
439,20,85,5,900,8,1,0.343661010265
440,85,53,5,20,6,2,0.0121999997646
441,85,3,53,137,2,1,0.00704200007021
442,13,219,13,137,2,1,0.0363090001047
443,219,351,33,85,2,2,0.329212009907
444,53,351,33,20,2,1,0.148434996605
445,5,562,137,562,4,1,2.32160305977
446,85,351,137,219,4,1,13.2650136948
447,351,13,85,1441,8,1,17.0639972687
448,33,20,562,85,10,2,0.723233997822
449,20,85,562,562,10,1,27.0204391479
450,20,219,3,20,6,1,0.0261000003666
451,85,137,562,53,6,1,17.816576004
452,562,351,13,900,10,1,181.737548828
453,8,562,5,85,6,2,0.0197940003127
454,53,8,1441,85,4,2,0.322093009949
455,351,13,33,20,10,1,0.375696986914
456,33,53,219,5,6,1,0.532324016094
457,13,219,33,900,8,1,2.67647790909
458,13,351,3,20,2,2,0.00176799995825
459,33,351,13,33,4,2,0.0448720008135
460,219,53,85,8,2,2,0.0479540005326
461,351,137,351,13,8,1,51.8840332031
462,219,137,219,53,8,2,7.97668790817
463,33,3,219,219,2,2,0.0119409998879
464,562,53,20,562,10,1,23.6438598633
465,53,53,53,20,10,1,0.613631010056
466,33,219,562,562,4,2,7.4555811882
467,219,562,562,562,6,2,279.360961914
468,13,5,33,137,2,1,0.0018380000256
469,85,53,85,351,8,2,1.64697694778
470,562,20,85,219,6,1,5.9770321846
471,33,13,85,351,6,1,0.313107013702
472,219,53,137,33,6,2,0.882184028625
473,562,33,13,3,8,1,0.564270973206
474,351,562,85,53,4,1,21.7124080658
475,562,85,3,1441,8,1,11.9636621475
476,219,85,53,20,2,2,0.0593729987741
477,53,351,5,562,6,2,0.452823013067
478,351,33,562,20,6,2,2.88253808022
479,351,33,53,33,2,2,0.0458410009742
480,85,351,137,33,10,1,24.0662059784
481,53,85,5,1441,6,2,0.276446998119
482,53,13,20,85,6,2,0.0124359996989
483,33,33,137,53,2,1,0.0506060011685
484,351,20,5,5,6,1,0.0512030012906
485,351,219,351,53,10,2,51.1357688904
486,351,8,13,219,2,1,0.0515829995275
487,562,351,85,3,6,1,25.536157608
488,5,5,3,13,4,1,0.000199999994948
489,33,33,8,900,10,1,0.43827599287
490,3,8,3,900,2,1,0.00133700005244
491,219,562,33,562,4,2,8.20446300507
492,562,13,219,219,8,2,3.29617595673
493,137,3,5,20,2,2,0.000280999985989
494,20,562,562,53,8,1,24.1356525421
495,85,53,1441,13,4,2,1.29995298386
496,8,53,1441,33,4,1,0.577566981316
497,562,33,13,13,8,2,0.172646999359
498,351,8,137,1441,4,2,1.86350405216
499,53,562,562,33,2,2,1.09033000469
500,13,85,13,8,8,2,0.00659599993378
501,562,13,53,13,8,1,0.787205994129
502,85,20,85,85,4,2,0.0657690018415
503,219,13,33,53,2,2,0.00906000006944
504,20,20,900,219,10,2,1.7716050148
505,53,8,351,562,4,1,1.07863104343
506,351,53,3,137,6,2,0.0940579995513
507,33,351,562,8,8,1,15.733165741
508,53,351,33,3,2,1,0.109742000699
509,562,5,1441,33,4,1,3.40558195114
510,562,53,1441,219,4,2,34.5108184814
511,5,8,351,3,4,2,0.00377699988894
512,5,53,33,85,4,2,0.00513199996203
513,137,33,900,137,4,2,2.32816505432
514,137,20,562,900,4,2,4.65338516235
515,137,3,562,85,2,2,0.0243149995804
516,20,13,33,562,8,1,0.154264003038
517,562,53,5,1441,6,1,7.07178688049
518,8,53,3,20,2,1,0.000697000010405
519,351,562,351,8,2,1,12.6174545288
520,33,351,85,5,10,2,0.854789972305
521,351,33,20,3,2,2,0.0109390001744
522,85,219,5,33,8,1,0.385419011116
523,20,8,8,3,4,1,0.000959000026342
524,33,562,219,562,4,2,7.32639694214
525,137,219,53,8,4,1,1.14549100399
526,562,219,85,351,8,1,194.525085449
527,8,219,562,900,6,2,5.17852401733
